timestep,mean_fractional_change,median_fractional_change,p25_fractional_change,p75_fractional_change,iqr_fractional_change,n_files
6800,-0.1440968605031922,-0.1428571428571429,-0.20517241379310341,-0.08695652173913049,0.11821589205397293,250
6850,-0.14483725502815192,-0.1428571428571429,-0.2079741379310345,-0.08695652173913049,0.12101761619190401,250
6900,-0.1456038603793225,-0.1428571428571429,-0.20833333333333337,-0.08695652173913049,0.12137681159420288,250
6950,-0.1467112415069668,-0.1428571428571429,-0.20833333333333337,-0.08695652173913049,0.12137681159420288,250
7000,-0.14754023917596445,-0.1428571428571429,-0.21117424242424246,-0.08695652173913049,0.12421772068511197,250
7050,-0.14840050853623382,-0.1428571428571429,-0.21374458874458876,-0.0879446640316206,0.12579992471296816,250
7100,-0.15001544681675608,-0.14814814814814814,-0.21374458874458876,-0.09090909090909094,0.12283549783549783,250
7150,-0.15135054264088416,-0.14814814814814814,-0.21739130434782605,-0.0916193181818182,0.12577198616600785,250
7200,-0.15172091301125454,-0.14814814814814814,-0.21739130434782605,-0.0916193181818182,0.12577198616600785,250
7250,-0.15248161460850787,-0.14814814814814814,-0.21739130434782605,-0.0916193181818182,0.12577198616600785,250
7300,-0.15343198016499035,-0.14814814814814814,-0.2222222222222222,-0.0916193181818182,0.130602904040404,250
7350,-0.16880458683103672,-0.16666666666666663,-0.23076923076923073,-0.10344827586206895,0.12732095490716178,250
7400,-0.16965497241570224,-0.16666666666666663,-0.23076923076923073,-0.1057330827067669,0.12503614806246383,250
7450,-0.18398584085556902,-0.18834459459459457,-0.2478448275862069,-0.125,0.1228448275862069,250
7500,-0.18430790204719544,-0.1898326898326898,-0.2478448275862069,-0.125,0.1228448275862069,250
7550,-0.18536966184550693,-0.1898326898326898,-0.25,-0.125,0.125,250
7600,-0.18704078256080914,-0.19139194139194138,-0.25,-0.13043478260869568,0.11956521739130432,250
7650,-0.18861146258884207,-0.19139194139194138,-0.25,-0.13043478260869568,0.11956521739130432,250
7700,-0.1897161379135174,-0.19139194139194138,-0.25,-0.13043478260869568,0.11956521739130432,250
7750,-0.19081969961363085,-0.1923076923076923,-0.25,-0.13043478260869568,0.11956521739130432,250
7800,-0.1932893348173965,-0.1923076923076923,-0.25783410138248847,-0.13115942028985508,0.12667468109263338,250
7850,-0.1946017693393962,-0.1923076923076923,-0.25806451612903225,-0.13115942028985508,0.12690509583917717,250
7900,-0.19595675814921337,-0.1967741935483871,-0.25896057347670254,-0.13409090909090907,0.12486966438579347,250
7950,-0.19783211834923037,-0.19999999999999996,-0.26046698872785834,-0.13636363636363635,0.12410335236422199,250
8000,-0.19936891276462226,-0.19999999999999996,-0.26086956521739135,-0.13636363636363635,0.124505928853755,250
8050,-0.20101345821528463,-0.19999999999999996,-0.26086956521739135,-0.13793103448275867,0.12293853073463268,250
8100,-0.20256955166497556,-0.19999999999999996,-0.26086956521739135,-0.13916256157635473,0.12170700364103662,250
8150,-0.20422579023733106,-0.19999999999999996,-0.26086956521739135,-0.1428571428571429,0.11801242236024845,250
8200,-0.20601618149942325,-0.19999999999999996,-0.26086956521739135,-0.1428571428571429,0.11801242236024845,250
8250,-0.20741875551156247,-0.19999999999999996,-0.26086956521739135,-0.1428571428571429,0.11801242236024845,250
8300,-0.20909196063976762,-0.19999999999999996,-0.26086956521739135,-0.14814814814814814,0.11272141706924321,250
8350,-0.21089488390035957,-0.19999999999999996,-0.26086956521739135,-0.15000000000000002,0.11086956521739133,250
8400,-0.21343918895534678,-0.20761494252873564,-0.2657894736842106,-0.15096153846153848,0.1148279352226721,250
8450,-0.2148630476853224,-0.20833333333333337,-0.2666666666666667,-0.15384615384615385,0.11282051282051286,250
8500,-0.21579024345251818,-0.20833333333333337,-0.2666666666666667,-0.1544471153846154,0.11221955128205133,250
8550,-0.2169659823432571,-0.21130952380952384,-0.2666666666666667,-0.15666118421052633,0.11000548245614039,250
8600,-0.21864444083739776,-0.2142857142857143,-0.2692307692307693,-0.16000000000000003,0.10923076923076924,250
8650,-0.22019651896860631,-0.2142857142857143,-0.2718531468531469,-0.16000000000000003,0.11185314685314685,250
8700,-0.22136348988014243,-0.2142857142857143,-0.2727272727272727,-0.16000000000000003,0.11272727272727268,250
8750,-0.22270097239762496,-0.2142857142857143,-0.2781818181818182,-0.16000000000000003,0.11818181818181817,250
8800,-0.22384478192143448,-0.2142857142857143,-0.28,-0.16000000000000003,0.12,250
8850,-0.2244557709324235,-0.21583850931677018,-0.28,-0.16000000000000003,0.12,250
8900,-0.22578146893812148,-0.21807065217391303,-0.28,-0.16000000000000003,0.12,250
8950,-0.22602075465240723,-0.21807065217391303,-0.28428571428571425,-0.16000000000000003,0.12428571428571422,250
9000,-0.22788218929619478,-0.2222222222222222,-0.2901785714285714,-0.16000000000000003,0.13017857142857137,250
9050,-0.2286190441080496,-0.22474747474747475,-0.2901785714285714,-0.16000000000000003,0.13017857142857137,250
