timestep,mean_fractional_change,median_fractional_change,lower_bound_p25,upper_bound_p75,mean_cells,median_cells,n_files
10000,-0.3843262119449939,-0.3920807453416149,-0.45833333333333337,-0.3117059891107078,15.996,16.0,250
10050,-0.38523806302494834,-0.3920807453416149,-0.45833333333333337,-0.3117059891107078,15.972,16.0,250
10100,-0.385834992647462,-0.3920807453416149,-0.45833333333333337,-0.31638755980861244,15.956,16.0,250
10150,-0.3863445164569858,-0.3928571428571429,-0.4607371794871795,-0.31638755980861244,15.944,16.0,250
10200,-0.3871750624970971,-0.3928571428571429,-0.46153846153846156,-0.31638755980861244,15.924,16.0,250
10250,-0.3874429196399542,-0.3928571428571429,-0.46153846153846156,-0.31638755980861244,15.916,16.0,250
10300,-0.3877339249309595,-0.3928571428571429,-0.46153846153846156,-0.31818181818181823,15.908,16.0,250
10350,-0.38821203940907395,-0.3928571428571429,-0.46153846153846156,-0.31818181818181823,15.896,16.0,250
10400,-0.3891250141032251,-0.3928571428571429,-0.46153846153846156,-0.31818181818181823,15.872,15.5,250
10450,-0.3891250141032251,-0.3928571428571429,-0.46153846153846156,-0.31818181818181823,15.872,15.5,250
10500,-0.38989668076989176,-0.3928571428571429,-0.46153846153846156,-0.31818181818181823,15.852,15.5,250
10550,-0.3905325881153644,-0.3928571428571429,-0.4642857142857143,-0.31818181818181823,15.836,15.5,250
10600,-0.40968156308808923,-0.40824915824915825,-0.4814814814814815,-0.3359375,15.324,15.0,250
10650,-0.41010557330520286,-0.40824915824915825,-0.4814814814814815,-0.3359375,15.312,15.0,250
10700,-0.41083017100635233,-0.40909090909090906,-0.48243933588761173,-0.3359375,15.292,15.0,250
10750,-0.41174596050670703,-0.40909090909090906,-0.48243933588761173,-0.3359375,15.268,15.0,250
10800,-0.4127861986019451,-0.4114420062695925,-0.48243933588761173,-0.3359375,15.24,15.0,250
10850,-0.4139771876129341,-0.4137931034482759,-0.48243933588761173,-0.3359375,15.208,15.0,250
10900,-0.41485022919671743,-0.4137931034482759,-0.48359288097886544,-0.3359375,15.184,15.0,250
10950,-0.41593349989153977,-0.4137931034482759,-0.48359288097886544,-0.34401939655172414,15.156,15.0,250
